Institution_abbreviation,Institution_name,City,Country,ROR,Alternatively,May_contain
?,N/A,N/A,N/A,N/A,,
AM,Australian Museum,Sydney,Australia,https://ror.org/02zv4ka60,,
AMG,Albany Museum,Grahamstown,South Africa,,AM,
AMNH,American Museum of Natural History,New York,United States,https://ror.org/03thb3e06,,"FARB (Fossil Amphibians, Reptiles, and Birds)"
BGRB,Bundesanstalt fur Geowissenschaften und Rohstoffe,Berlin,Germany,https://ror.org/04d77de73,,
BMR,Bureau of Mineral Resources,Canberra,Australia,https://ror.org/039b65w79,,
BMRP,Burpee Museum,Rockford,United States,,,
BP,Bernard Price Institute,Johannesburg,South Africa,,,
BSM,Bayerische Staatssammlung für Paläontologie und Historische Geologie,Munich,Germany,https://ror.org/03327ex30,"BSP, BSPG, SNSB-BSPG",
BSp,"Geology Department, Birmingham University",Birmingham,England,https://ror.org/03angcq70,,
BSP,Bayerische Staatssammlung für Paläontologie und Historische Geologie,Munich,Germany,https://ror.org/03327ex30,"BSM, BSPG",
CAMSM,"Sedgwick Museum, University of Cambridge",Cambridge,England,https://ror.org/02x42kc45,SM,
CAMZM,"University Museum of Zoology, Cambridge",Cambridge,England,https://ror.org/013meh722,UMZC,updated per MDA listing
CDUE,"Department of Earth Sciences, Chouaib Doukkali University",El Jadida,Morocco,https://ror.org/036kgyt43,,
CGP,Council for Geoscience,Pretoria,South Africa,https://ror.org/03x9hh156,"GHG, RMS",
CIGUS,"Sammlung des Geologischen Instituts, Saar-Universität",Saarbrücken,Germany,https://ror.org/01jdpyv68,,
CM,Carnegie Museum of Natural History,Pittsburgh,United States,https://ror.org/0556qrc19,,
CMNH,Cleveland Museum of Natural History,Cleveland,United States,https://ror.org/04b8x5a95,,
CY-HN,Chaiyaphum-Huai Nam Aun,unknown,Thailand,,,
D,unknown,Strasbourg,France,,,"refers to holotype of Odontosaurus voltzi, which was probably in Strasbourg but destroyed several decades ago in a fire (Schoch & Milner, 2000)"
DGM,"Divisāo de Geologia e Mineralogia, Departamento Nacional de Producao Mineral",Rio de Janeiro,Brazil,https://ror.org/00chm8v09,,
DMNH,Denver Museum of Nature and Science,Denver,United States,https://ror.org/003zqrx63,DMNH,
DMR,Department of Mineral Resources,Bangkok,Thailand,,,
DNPM,Departamento Nacional de Produção Mineral,Brasilía,Brazil,,,
EXEMS,Royal Albert Memorial Museum,Exeter,England,https://ror.org/048r9g705,,
FC-DPV,Colección de Paleontología de Vertebrados de la Facultad de Ciencias,Montevideo,Uruguay,,,
FCT-UNL,"Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa",Lisboa,Portugal,https://ror.org/02xankh89,,
FG,"Geowissenschatfliches Institut, Bergakademie Freiburg",Freiberg,Germany,https://ror.org/031vc2293,,
FMNH,Field Musem of Natural History,Chicago,United States,https://ror.org/00mh9zx15,,
FSD,Fürstenbergische Sammlung,Donaueschingen,Germany,,,
GCLU,"Geological Collections, St. Petersburg State University",St. Petersburg,Russia,https://ror.org/023znxa73,,
GG,Geologisches Institut Greifswald,Greifswald,Germany,,,
GIF,University Collection of Freiburg,Freiburg,Germany,https://ror.org/0245cg223,,
GIH,Geologisches Institut Universität Heidelberg,Heidelberg,Germany,https://ror.org/038t36y30,,
GIJ,Geologisches Institut Jena,Jena,Germany,https://ror.org/05qpz1x62,,
GIUK,"Geologisches Institut, Universität zu Köln",Cologne,Germany,https://ror.org/00rcxh774,,
GIW,"Geologisches Institut, Universität Würzburg",Würzburg,Germany,https://ror.org/00fbnyb24,,
GLAHM,"Hunterian Museum, Glasgow University",Glasgow,Scotland,https://ror.org/00vtgdb53,,
GLAMG,"Geological Collections, Glasgow Museum and Art Gallery",Glasgow,Scotland,,,
GM,Geological Museum of the University of Copenhagen,Copenhagen,Denmark,https://ror.org/035b05819,,
GMBS,Geologisches Museum der Bergingenieursschule in Saarbrücken,Saarbrücken,Germany,,,
GMG,Geowissenschaftliches Museum Göttingen,Göttingen,Germany,,,
GM KFU KP,Geological Museum of Kazan Federal University,Kazan',Russia,https://ror.org/05256ym39,,
GMH,"Geiseltalmusuem, Martin Luther-Universität",Halle,Germany,https://ror.org/05gqaka33,,
GPIH,Geologisch-Paläontologisches Institut Heidelberg,Heidelberg,Germany,,,
GPIM,Johannes Gutenberg-Universität Mainz (geologisch-paläontologische Sammlung),Mainz,Germany,https://ror.org/023b0x485,,
GPS.MLU,"Geologisches Institut, Universität Halle an der Saale",Halle,Germany,https://ror.org/05gqaka33,,
GSI,Geological Survey of India,Kolkata,India,https://ror.org/00nthx533,,
GSM,Geological Survey Museum,London?,United Kingdom?,,,may be LDGEO in MDA system
GSP,"Geological Society, Prague",Prague,Czech Republic,,,
GZG,Geologisches Zentrum Universität Göttingen,Göttingen,Germany,https://ror.org/01y9bpm73,,
HLD-V,Hessisches Landesmuseum,Darmstadt,Germany,,SD,
HMH,Heinatmuseum Halberstadt,Halberstadt,Germany,,,
HQ,Emporia State University,Emporia,United States,https://ror.org/04e6r1478,,
HUJ,"Department of Zoology, Hebrew University of Jerusalem",Jerusalem,Israel,https://ror.org/03qxff017,,
IGCAGS,"Institute of Geology, Chinese Academy of Geological Sciences",Beijing,China,https://ror.org/02gp4e279,,
IGF,"Geological Institute, University of Freiburg",Freiburg,Germany,,,
IGS,"Institut de Géologie Strasbourg, Universite ́ Louis Pasteur",Strasbourg,France,,,
IITKGPA,"Indian Institute of Technology, Kharagpur",Kharagpur,India,https://ror.org/03w5sq511,,
IM,Indian Museum Kolkata,Kolkata,India,,K,
IPBSH,"Paleohistology collection, University of Bonn, Steinmann Institute",Bonn,Germany,https://ror.org/041nas322,,subdesignation under STIPB
IPFUB,"Institut für Geologische Wissenschaften, Fachrichtung Paläontologie, Freie Universität Berlin",Berlin,Germany,https://ror.org/046ak2485,,
IPS,"Institut de Paleontologia Miquel Crusafont, Sabadell",Barcelona,Spain,https://ror.org/04qeh2h86,,
IRSNB,Institut Royal des Sciences Naturelles de Belgique,Bruxelles,Belgium,https://ror.org/02y22ws83,,
ISI,Indian Statistical Institute,Kolkata,India,https://ror.org/00q2w1j53,,
IVPP,"Institute of Vertebrate Paleontology and Paleoanthropology, Chinese Academy of Sciences",Beijing,China,https://ror.org/0000pmw59,,
KS,Kalasin,,Thailand,,,
KUVP,"University of Kansas, Museum of Natural History",Lawrence,United States,https://ror.org/001tmjg57,,
LFUG-SS,Landesamt für Umwelt und Geologie,Freiburg,Germany,,LFUG,
LPRP/USP,"Laboratório de Paleontologia de Ribeirão Preto, Universidade de São Paulo",São Paulo,Brazil,https://ror.org/036rp1748,,
LU,Lunds Universitet,Lund,Sweden,https://ror.org/012a77v79,,
LWL-MNF P,"Landschaftsverband Westfalen-Lippe, Museum für Naturkunde, Abteilung Paläontologie",Münster,Germany,,,
MA,Musée d'Autun,Autun,France,,,
MA,Museum Africa,Johannesburg,South Africa,,,
MANCH,Manchester Museum,Manchester,England,,MM,updated per MDA listing
MAP,"Museu de Arqueologia e Paleontologia, Universidade Federal do Piauí",Teresina,Brazil,https://ror.org/00kwnx126,UFPI,
MB,"Museum für Naturkunde, Humboldt-Universität",Berlin,Germany,https://ror.org/052d1a351,,
MCN,Fundação Zoobotânica do Estado do Rio Grande do Sul,Porto Alegre,Brazil,,,
MCNA,Museo de Ciencias Naturales y Antropológicas Mendoza,Mendoza,Argentina,,,
MCNAM,Museo de Ciencias Naturales y Antropológicas Juan Cornelio Moyano,Mendoza,Argentina,,,
MCP,"Museu de Ciências e Tecnologia, Pontifícia Universidade Católica do Rio Grande do Sul",Porto Alegre,Brazil,https://ror.org/025vmq686,,
MCZ,"Museum of Comparative Zoology, Harvard University",Cambridge,United States,https://ror.org/03vek6s52,,
MGM,MacGregor Museum,Kimberley,South Africa,,,
MGUH,Museum Geologicum Universitatis Hafniensis,Copenhagen,Denmark,,,sometimes includes 'VP' designation but not consistent in recent literature
MHI,Muschelkalkmuseum Hagdorn Ingelfingen,Ingelfingen,Germany,,,
MHK,"Museum of Eastern Bohemia, Hradec Králové",Hradec Králové,Czech Republic,,MEBHK-P,
MHNA,"Museé d´Histoire Naturelle, Autun",Autun,France,,,
MHNF,Muséum d’Histoire Naturelle Fribourg,Fribourg,Switzerland,,,
MHNM,Muséum d’Histoire naturelle de Marrakech,Marrakech,Morocco,,,
MLP,Museo de La Plata,La Plata,Argentina,,,
MMF,Mining Museum of the New South Wales Geological Society,Sydney,Australia,,NSWGS,
MMG,Staatliches Museum für Mineralogie und Geologie,Dresden,Germany,,"MMGD, SCD, SGD, SMMGD",
MMMN,Manitoba Museum of Man and Nature,Winnipeg,Canada,,,
MNA,Museum of Northern Arizona,Flagstaff,United States,https://ror.org/03jhnpw59,,
MNC,"Museum für Naturkunde, Chemnitz",Chemnitz,Germany,https://ror.org/03fry2j13,"NHMC, also listed as MNfC by Werneburg et al. (2022)",
MNG,Museum der Natur,Gotha,Germany,,,
MNHN,Muséum National d'Histoire Naturelle,Paris,France,https://ror.org/03wkt5x30,,
MNHNP-Aut.,"Muséum National d'Histoire Naturelle, Autun collection",Paris,France,,,
MNHNP-COM.,"Muséum National d'Histoire Naturelle, Commentry collection",Paris,France,,,
MNM,Museum für Naturkunde Magdeburg,Madeburg,Germany,https://ror.org/04vxjth07,,
MNN,Musée National du Niger,Niamey,Niger,,,
MNVD,Museum für Natur- und Vorgeschichte Dessau,Dessau-Roßlau,Germany,,,
MPT,Museum of Nature and Technology,Starachowice,Poland,,MNtS,
MSB,Museum Schloss Bernburg,Bernburg,Germany,,,
MSNM,Museo di Storia Naturale di Milano,Milan,Italy,,,
MU,University of Missouri,Columbia,United States,https://ror.org/02ymw8z06,,
MUHNCAL,"Museo de Historia Natural y Cultural del Desierto de Atacama, Calama",Calama,Chile,,,
MUZ,"Geological Museum, Polish Geological Institute – National Research Institute",Warsaw,Poland,,,
MUZD,Monash University Zoology Department,Clayton,Australia,https://ror.org/02bfwt286,,
MWG,"Geological Museum, Faculty of Geology, University of Warsaw",Warsaw,Poland,,,
MZ,Muzeum Ziemi Polskiej Akademii Nauk w Warszawie,Warsaw,Poland,,,
Namu,Naturkunde-Museum Bielefeld,Bielefeld,Germany,,,
NCSM,North Carolina Museum of Natural Sciences,Raleigh,United States,https://ror.org/01bqnjh41,,
NEIU,Northeastern Illinois University,Chicago,United States,https://ror.org/04edns687,,
NHCC,National Heritage Conservation Commission,Lusaka,Zambia,,,
NHMM,"Naturhistorisches Museum, Mainz",Mainz,Germany,,"NMM, NMMz, NHMM, NHMMZ",
NHMS,Naturhistorisches Museum Schloss Bertholdsburg Schleusingen,Schleusingen,Germany,,"NHSch, NMSch, NHM",
NHMUK,Natural History Museum,London,England,https://ror.org/039zvsn29,BMNH,current 'PV R' designation derived from museum database
NHMW,Naturhistorisches Museum Wien,Vienna,Austria,https://ror.org/01tv5y993,NMW,
NMH,Naturhistorisches Museum Heilbronn,Heilbronn,Germany,,,
NMI,National Museum of Ireland,Dublin,Ireland,https://ror.org/035t6ww14,,
NMK-S,"Naturhistorisches Museum, Kassel",Kassel,Germany,,,
NMMNH,New Mexico Museum of Natural History & Science,Albuquerque,United States,https://ror.org/00narfz77,,
NMNS,Canadian Museum of Nature,Ottawa,Canada,https://ror.org/029ws6035,,
NMP,Narodní Muzeum,Prague,Czech Republic,https://ror.org/04z6gwv56,CGH,
NMQR,National Museum,Bloemfontein,South Africa,,,
NMS,National Museums of Scotland,Edinburgh,Scotland,https://ror.org/00pxfwe85,,
NMT,National Museum of Tanzania,Dar es Salam,Tanzania,,,
NMV,Museum of Victoria,Melbourne,Australia,https://ror.org/04mf3mq37,,
NNM,Naturalis Museum,Leiden,Netherlands,,,
NRM,Naturhistoriska Riksmuseet,Stockholm,Sweden,https://ror.org/05k323c76,NR,
NSM,Nova Scotia Museum of Science,Halifax,Nova Scotia,,,
OMNH,Sam Noble Oklahoma Museum of Natural History,Norman,United States,https://ror.org/02aqsxs83,OUSM,
OSUOM,"Orton Museum, Ohio State University",Columbus,United States,https://ror.org/00rs6vg23,,
OUSM,"University of Oklahoma, Stovall Museum",Norman,United States,https://ror.org/02aqsxs83,,"should be part of OMNH collections, but numbering system is completely different"
PIM,Paläiontologisches Institut Mainz,Mainz,Germany,,,
PIMUZ,Paläontologisches Institut und Museum der Universität Zurich,Zürich,Switzerland,,,
PIN,"Paleontological Institute, Russian Academy of Sciences",Moscow,Russia,https://ror.org/015y4fr56,,
PIU,Palaeontological Institute of the University of Uppsala,Uppsala,Sweden,,,"should be part of PMU collections, but numbering system is completely different"
PMU,"Palaeontological Collections, Museum of Evolution, Uppsala University",Uppsala,Sweden,,PIU,
POL-F,"Pollichia, Pfalzmuseum für Naturkunde",Bad Dürkheim,Germany,,,
PPHM,Panhandle Plains Historical Museum,Canyon,United States,,WT,
PSUL,Paläontologische Sammlung der Universität Leipzig,Leipzig,Germany,https://ror.org/03s7gtk40,KMU,
PU-ANF,"Departamento de Paleontología, Universidad Complutense",Madrid,Spain,https://ror.org/02p0gd045,,
PVL,Sección Paleozoología (vertebrados) del Instituto Miguel Lillo de la Universidád Nacionál de Tucumán,San Miguel de Tucumán,Argentina,,,
QM,Queensland Museum,Brisbane,Australia,https://ror.org/035zntx80,,
RC,"Rubidge Collection, Wellwood",Graaff-Reinet,South Africa,,,
RE,Krupp collection at Essen,Essen,Germany,,,
RHM,Rhinopolis Associative Museum,Gannat,France,,,
RM,"Redpath Museum, McGill University",Montreal,Canada,https://ror.org/01pxwe438,,
RMZ,unknown,unknown,Russia,,possibly related to or subsumed into SGU (also given as SSU),
ROM,Royal Ontario Museum,Toronto,Canada,https://ror.org/00vcj2z66,,VP (Vertebrate Paleontology)
SAM,South Australian Museum,Adelaide,Australia,,,"only used for one specimen (SAM P42375 [Pledge, 2013])"
SAM,Iziko South African Museum,Cape Town,South Africa,https://ror.org/03xzjnp53,RS designation used for field localities/numbers,PK
SAS,Museum Schloß Wilhelmsburg Schmalkalden,Schmalkalden,Germany,,,
SDM,former Dreyer collection (now part of GPIM),Mainz,Germany,,,
SGED,Sammlung des Sächsischen Geologischen Landesamtes,Leipzig,Germany,,now at MMG,
SGM,Collection B. Graumann,Mehlingen,Germany,,,
SGP,"Sino-German Project collection, currently housed at the Institut und Museum ftir Geologic und Paläontologie, University of Tübingen",Tübingen,Germany,,,
SGU,Saratov State University,Saratov,Russia,https://ror.org/05jcsqx24,SSU,
SKO,Krätschmer collection,Odernheim,Germany,,,
SMF,Senckenberg Research Institute and Natural History Museum Frankfurt,Frankfurt,Germany,,"NSMF, SSF",
SMM,Science Museum of Minnesota,St. Paul,United States,https://ror.org/02nyfes25,,
SMNK,Staatliches Museum für Naturkunde Karlsruhe,Karlsruhe,Germany,https://ror.org/035hn3t86,,
SMNS,Staatliches Museum für Naturkunde Stuttgart,Stuttgart,Germany,https://ror.org/05k35b119,,
SMP,State Museum of Pennsylvania,Harrisburg,USA,,,
SMU,"Shuler Museum of Paleontology, Southern Methodist University",Dallas,United States,https://ror.org/042tdr378,,
SOIKM,Alabin Samara Regional Historical Museum,Samara,Russia,,,
SRK,collection of Manfred Raisch,Kaiserslautern,Germany,,,
SSN,collection of Arnulf + Harald Stapf in the Paläontologisches Museum Nierstein,Nierstein,Germany,,,
STIPB,"Goldfuß Museum & Steinmann Institute, University of Bonn",Bonn,Germany,https://ror.org/041nas322,"GMB, GPIT, IPB, PIB",several of the other designations remain in usage in recent years; this one is selected based on the usage by authors affiliated with this institution
SWC,Sammlung Watson in Universität Cambridge,Cambridge,United Kingdom,,,it is probable that this collection has been folded into an existing repository and renumbered
TCD,"Geological Museum, Trinity College",Dublin,Ireland,https://ror.org/02tyrky19,,
TF,Thai Fossil,unknown,Thailand,,,
TM,Transvaal Museum,Pretoria,South Africa,,,
TMAG,Tasmanian Museum and Art Gallery,Hobart,Australia,,,
TMM,Texas Memorial Museum,Austin,United States,https://ror.org/00hj54h04,,
TsNIGR,Chernyshev Central Museum of Geological Exploration,St. Petersburg,Russia,,"CCMGE, CNIGR",
TTU,Texas Tech University Museum,Lubbock,United States,https://ror.org/0405mnx93,MOTT,
UA,Universite d’Antananarivo,Antananarivo,Madagascar,https://ror.org/02w4gwv87,,
uam,Faculty of Geographical and Geological Sciences Museum of Earth at the Adam Mickiewicz University,Poznán,Poland,https://ror.org/04g6bbq64,,
UCLA,"University of California, Los Angeles",Los Angeles,United States,https://ror.org/046rm7j60,,VP (Vertebrate Paleontology)
UCMP,University of California Museum of Paleontology,Berkeley,United States,https://ror.org/01an7q238,,
UFPR,Universidade Federal do Paraná,Curitiba,Brazil,https://ror.org/05syd6y78,,
UFRGS,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,https://ror.org/041yk2d64,,
UFSM,Universidade Federal de Santa Maria,Santa Maria,Brazil,https://ror.org/01b78mz79,,
UGKU,Urweltmuseum GEOSKOP,Pfalz,Germany,,,
UHC-P,"Ulrich Heidtke Collection, Paläontologische Sammlung",Niederkirchen,Germany,,,
UJ,Friedrich-Schiller Universität zu Jena,Jena,Germany,https://ror.org/05qpz1x62,,
ULBRA,Universidade Luterana do Brasil,Cachoeira do Sul,Brazil,,,
UM,Université Montpellier 2,Montpellier,France,,,
UMMP,University of Michigan Museum of Paleontology,Ann Arbor,United States,https://ror.org/00jmfr291,,
UMO-BSP-BT,Urwelt-Museum Oberfranken,Bayreuth,Germany,,,
UMUT,University Museum (University of Tokyo),Tokyo,Japan,https://ror.org/04r8tsy16,,
UMVT,Museu de História da Vida e da Terra d Universidade do Valedo Rio dos Sinos,São Leopoldo,Brazil,https://ror.org/05ctmmy43,,
UNIPAMPA,"Laboratório de Paleobiologia, Universidade Federal do Pampa",São Gabriel,Brazil,,,
UNM,University of New Mexico,Albuquerque,United States,https://ror.org/05fs6jp91,,
UO,Uniwersytet Opolski,Opole,Poland,,,field number designation
UOBS,"Biosystematics/Palaeobiology, University of Opole",Opole,Poland,https://ror.org/04gbpnx96,UOPB,old designation (still in usage for historically assigned material)
UOPB,"Biosystematics/Palaeobiology, University of Opole",Opole,Poland,https://ror.org/04gbpnx96,UOBS,new designation
USNM,"National Museum of Natural History, Smithsonian Institution",Washington D.C.,United States,https://ror.org/03wkt5x30,,
UT-BEG,"Bureau of Economic Geology, University of Texas, Austin",Austin,United States,https://ror.org/00hj54h04,,now part of TMM
UTGD,"Department of Geology, University of Tasmania",Hobart,New Zealand,https://ror.org/01nfmeh72,,
UWBM,University of Washington Burke Museum,Seattle,United States,https://ror.org/015ypce77,,VP (Vertebrate Paleontology)
VNIGRI,All-Russia Research Institute of Geological Prospecting,unknown,Russia,,,
WAM,Western Australian Museum,Perth,Australia,https://ror.org/01a3yyc70,,
WARMS,Warwick County Museum,Warwick,England,,,
WSUVP,Wayne State University Vertebrate Paleontology Collection,Detroit,United States,,WSUPC,
WT,Panhandle Plains Historical Museum (West Texas),Canyon,United States,,PPHM,
YaGPU,Ushinsky Teachers University of Yaroslavl,Yaroslavl,Russia,https://ror.org/02n3d5p55,,
YPM,"Peabody Museum of Natural History, Yale University",New Haven,United States,https://ror.org/03db5ay71,,PU designation indicates formerly at Princeton University
ZAR,"Zarzaïtine, Musuem of the Faculty of Earth Sciences, Geography and Regional Land Settlement, USTHB",Algiers,Algeria,,,
ZDM,Zigong Museum,Chengdu,China,,,
ZIN,"Zoological Institute, Russian Academy of Sciences",St. Petersburg,Russia,https://ror.org/05snbjh64,,PH designation for 'Paleoherpetology'
ZMP,Zapodocescke Museum,Plzen,Czech Republic,,ZP,
ZPAL,Instytut Paleobiologii im. R. Kozłowskiego Polskiej Akademii Nauk,Warsaw,Poland,https://ror.org/04xk7k966,,
ZPUW,"Zaklad Paleozoologii, Instyutut Zoologiczny, Universytet Wrocławski",Wroclaw,Poland,https://ror.org/00yae6e25,,